"","V1","V27","V28","Label"
"1","SRR3935519","GSM2244615","Microglia(CD45)",2
"2","SRR3935520","GSM2244616","Microglia(CD45)",3
"3","SRR3935521","GSM2244617","Microglia(CD45)",1
"4","SRR3935522","GSM2244618","Microglia(CD45)",3
"5","SRR3935523","GSM2244619","Microglia(CD45)",3
"6","SRR3935524","GSM2244620","Microglia(CD45)",3
"7","SRR3935525","GSM2244621","Microglia(CD45)",3
"8","SRR3935526","GSM2244622","Microglia(CD45)",3
"9","SRR3935527","GSM2244623","Microglia(CD45)",3
"10","SRR3935529","GSM2244625","Microglia(CD45)",1
"11","SRR3935530","GSM2244626","Microglia(CD45)",2
"12","SRR3935531","GSM2244627","Microglia(CD45)",3
"13","SRR3935532","GSM2244628","Microglia(CD45)",3
"14","SRR3935628","GSM2244724","Oligodendrocytes(GC)",1
"15","SRR3935637","GSM2244733","Oligodendrocytes(GC)",1
"16","SRR3935639","GSM2244735","Oligodendrocytes(GC)",1
"17","SRR3935646","GSM2244742","Oligodendrocytes(GC)",2
"18","SRR3935658","GSM2244754","Oligodendrocytes(GC)",3
"19","SRR3935659","GSM2244755","Oligodendrocytes(GC)",1
"20","SRR3935674","GSM2244770","Microglia(CD45)",2
"21","SRR3935675","GSM2244771","Microglia(CD45)",3
"22","SRR3935676","GSM2244772","Microglia(CD45)",3
"23","SRR3935677","GSM2244773","Microglia(CD45)",2
"24","SRR3935678","GSM2244774","Microglia(CD45)",3
"25","SRR3935679","GSM2244775","Microglia(CD45)",2
"26","SRR3935681","GSM2244777","Microglia(CD45)",3
"27","SRR3935682","GSM2244778","Microglia(CD45)",1
"28","SRR3935683","GSM2244779","Microglia(CD45)",3
"29","SRR3935684","GSM2244780","Microglia(CD45)",3
"30","SRR3935685","GSM2244781","Microglia(CD45)",3
"31","SRR3935709","GSM2244805","Endothelial(BSC)",2
"32","SRR3935754","GSM2244850","Endothelial(BSC)",2
"33","SRR3935811","GSM2244907","Microglia(CD45)",2
"34","SRR3935812","GSM2244908","Microglia(CD45)",1
"35","SRR3935813","GSM2244909","Microglia(CD45)",2
"36","SRR3935815","GSM2244911","Microglia(CD45)",3
"37","SRR3935816","GSM2244912","Microglia(CD45)",2
"38","SRR3935817","GSM2244913","Microglia(CD45)",1
"39","SRR3935818","GSM2244914","Microglia(CD45)",2
"40","SRR3935819","GSM2244915","Microglia(CD45)",1
"41","SRR3935820","GSM2244916","Microglia(CD45)",2
"42","SRR3935821","GSM2244917","Microglia(CD45)",1
"43","SRR3935822","GSM2244918","Microglia(CD45)",2
"44","SRR3935823","GSM2244919","Microglia(CD45)",1
"45","SRR3935824","GSM2244920","Microglia(CD45)",2
"46","SRR3935825","GSM2244921","Microglia(CD45)",2
"47","SRR3935826","GSM2244922","Microglia(CD45)",2
"48","SRR3935827","GSM2244923","Microglia(CD45)",2
"49","SRR3935828","GSM2244924","Microglia(CD45)",1
"50","SRR3935829","GSM2244925","Microglia(CD45)",3
"51","SRR3935830","GSM2244926","Microglia(CD45)",2
"52","SRR3935831","GSM2244927","Microglia(CD45)",1
"53","SRR3935832","GSM2244928","Microglia(CD45)",1
"54","SRR3935833","GSM2244929","Microglia(CD45)",2
"55","SRR3935834","GSM2244930","Microglia(CD45)",2
"56","SRR3935835","GSM2244931","Microglia(CD45)",1
"57","SRR3935836","GSM2244932","Microglia(CD45)",2
"58","SRR3935837","GSM2244933","Microglia(CD45)",2
"59","SRR3935838","GSM2244934","Microglia(CD45)",2
"60","SRR3935839","GSM2244935","Microglia(CD45)",1
"61","SRR3935840","GSM2244936","Microglia(CD45)",1
"62","SRR3935841","GSM2244937","Microglia(CD45)",1
"63","SRR3935842","GSM2244938","Microglia(CD45)",1
"64","SRR3935843","GSM2244939","Microglia(CD45)",2
"65","SRR3935844","GSM2244940","Microglia(CD45)",1
"66","SRR3935845","GSM2244941","Microglia(CD45)",2
"67","SRR3935846","GSM2244942","Microglia(CD45)",2
"68","SRR3935848","GSM2244944","Microglia(CD45)",2
"69","SRR3935849","GSM2244945","Microglia(CD45)",1
"70","SRR3935850","GSM2244946","Microglia(CD45)",2
"71","SRR3935851","GSM2244947","Microglia(CD45)",2
"72","SRR3935852","GSM2244948","Microglia(CD45)",2
"73","SRR3935853","GSM2244949","Microglia(CD45)",1
"74","SRR3935854","GSM2244950","Microglia(CD45)",1
"75","SRR3935855","GSM2244951","Microglia(CD45)",2
"76","SRR3935856","GSM2244952","Microglia(CD45)",1
"77","SRR3935857","GSM2244953","Microglia(CD45)",1
"78","SRR3935858","GSM2244954","Microglia(CD45)",1
"79","SRR3935859","GSM2244955","Microglia(CD45)",1
"80","SRR3935860","GSM2244956","Microglia(CD45)",2
"81","SRR3935861","GSM2244957","Microglia(CD45)",1
"82","SRR3935862","GSM2244958","Microglia(CD45)",2
"83","SRR3935863","GSM2244959","Microglia(CD45)",1
"84","SRR3935864","GSM2244960","Microglia(CD45)",3
"85","SRR3935865","GSM2244961","Microglia(CD45)",1
"86","SRR3935866","GSM2244962","Microglia(CD45)",1
"87","SRR3935867","GSM2244963","Microglia(CD45)",1
"88","SRR3935868","GSM2244964","Microglia(CD45)",1
"89","SRR3935869","GSM2244965","Microglia(CD45)",2
"90","SRR3935870","GSM2244966","Microglia(CD45)",1
"91","SRR3935871","GSM2244967","Microglia(CD45)",1
"92","SRR3935872","GSM2244968","Microglia(CD45)",2
"93","SRR3935873","GSM2244969","Microglia(CD45)",2
"94","SRR3935874","GSM2244970","Microglia(CD45)",3
"95","SRR3935875","GSM2244971","Microglia(CD45)",3
"96","SRR3935876","GSM2244972","Microglia(CD45)",2
"97","SRR3935877","GSM2244973","Microglia(CD45)",1
"98","SRR3935878","GSM2244974","Microglia(CD45)",1
"99","SRR3935879","GSM2244975","Microglia(CD45)",2
"100","SRR3935880","GSM2244976","Microglia(CD45)",2
"101","SRR3935881","GSM2244977","Microglia(CD45)",2
"102","SRR3935882","GSM2244978","Microglia(CD45)",2
"103","SRR3935883","GSM2244979","Microglia(CD45)",2
"104","SRR3935884","GSM2244980","Microglia(CD45)",1
"105","SRR3935885","GSM2244981","Microglia(CD45)",1
"106","SRR3935886","GSM2244982","Microglia(CD45)",2
"107","SRR3935887","GSM2244983","Microglia(CD45)",1
"108","SRR3935888","GSM2244984","Microglia(CD45)",1
"109","SRR3935889","GSM2244985","Microglia(CD45)",2
"110","SRR3935890","GSM2244986","Microglia(CD45)",2
"111","SRR3935891","GSM2244987","Microglia(CD45)",1
"112","SRR3935892","GSM2244988","Microglia(CD45)",1
"113","SRR3935893","GSM2244989","Microglia(CD45)",2
"114","SRR3935894","GSM2244990","Microglia(CD45)",2
"115","SRR3935895","GSM2244991","Microglia(CD45)",2
"116","SRR3935908","GSM2245004","Oligodendrocytes(GC)",1
"117","SRR3935909","GSM2245005","Oligodendrocytes(GC)",2
"118","SRR3935912","GSM2245008","Oligodendrocytes(GC)",3
"119","SRR3935913","GSM2245009","Oligodendrocytes(GC)",2
"120","SRR3935919","GSM2245015","Oligodendrocytes(GC)",1
"121","SRR3935921","GSM2245017","Oligodendrocytes(GC)",1
"122","SRR3935923","GSM2245019","Oligodendrocytes(GC)",1
"123","SRR3935935","GSM2245031","Astrocytes(HEPACAM)",2
